,City,Country,Latitude,Longitude,Date Time,Temperature,Humidity (%),Cloudiness (%),Wind Speed (mph)
374,Santa Cruz de la Sierra,BO,-17.8,-63.17,1595011733,87.8,58,20,16.11
375,Juneau,US,58.3,-134.42,1595011936,59.0,77,90,8.05
376,Topeka,US,39.05,-95.68,1595011770,91.99,59,1,10.29
377,Tadine,NC,-21.55,167.88,1595011997,65.21,65,0,1.23
378,Te Anau,NZ,-45.42,167.72,1595011997,29.91,94,0,0.89
379,Hirado,JP,33.36,129.55,1595011997,75.0,89,100,7.94
380,Nome,US,64.5,-165.41,1595011997,63.0,67,40,1.16
381,Chui,UY,-33.7,-53.46,1595011998,59.04,88,95,11.5
382,Mount Isa,AU,-20.73,139.5,1595011998,41.0,44,65,1.12
383,San Juan,AR,-31.54,-68.54,1595011998,74.44,18,0,9.28
384,Aranos,NA,-24.13,19.12,1595011998,50.85,38,0,11.05
385,Arevik,AM,40.1,44.09,1595011998,82.4,37,20,13.87
386,Līsakovsk,KZ,52.54,62.49,1595011775,73.62,66,0,8.75
387,Meulaboh,ID,4.14,96.13,1595011998,75.07,87,98,3.96
388,Broken Hill,AU,-31.95,141.43,1595011998,41.0,58,98,9.17
389,Anzhero-Sudzhensk,RU,56.08,86.03,1595011998,57.2,76,0,2.24
390,Vardø,NO,70.37,31.11,1595011999,55.4,82,100,19.46
391,High Rock,BS,26.62,-78.28,1595011999,86.0,79,40,11.41
392,Umba,RU,66.69,34.34,1595011999,58.93,61,2,3.49
393,Huambo,AO,-12.78,15.74,1595011999,55.94,39,0,7.31
394,Tevaitoa,PF,-16.78,-151.5,1595011999,78.01,77,2,11.18
395,Carauari,BR,-4.88,-66.9,1595011999,92.12,42,47,3.76
396,Port Macquarie,AU,-31.43,152.92,1595011999,55.99,80,20,13.0
397,Tucupita,VE,9.06,-62.05,1595011999,90.91,54,51,5.41
398,Vao,NC,-22.67,167.48,1595012000,69.08,69,7,14.72
399,Tual,ID,-5.67,132.75,1595012000,78.76,85,37,16.82
400,Shahr-e Bābak,IR,30.12,55.12,1595012000,77.49,28,80,6.55
401,Hobyo,SO,5.35,48.53,1595012000,78.26,70,25,29.17
402,Cayenne,GF,4.93,-52.33,1595012000,82.4,83,100,3.36
403,Aklavik,CA,68.22,-135.01,1595012000,55.4,82,75,5.82
404,Bay Roberts,CA,47.6,-53.26,1595011848,52.0,100,90,18.34
405,Agios Nikolaos,GR,38.42,23.65,1595012001,81.0,32,40,6.93
406,Bol'shoye Selo,RU,57.72,38.93,1595012001,56.57,95,61,5.64
407,Asilah,MA,35.47,-6.03,1595012001,86.0,45,0,18.34
408,Camacha,PT,33.08,-16.33,1595012001,71.6,78,20,14.99
409,Dubbo,AU,-32.25,148.62,1595012001,37.4,100,0,9.17
410,San Miguel de Tucumán,AR,-26.82,-65.22,1595012001,75.2,38,0,8.05
411,Okahandja,NA,-21.98,16.92,1595012001,57.2,14,0,3.36
412,Opuwo,NA,-18.06,13.84,1595012001,57.34,36,0,11.01
413,Locarno,CH,46.17,8.8,1595012002,80.6,54,20,3.36
414,Pemba,MZ,-12.97,40.52,1595012002,75.2,78,75,12.75
415,Bilibino,RU,68.05,166.44,1595012002,54.05,74,36,6.13
416,Atasū,KZ,48.68,71.64,1595012002,78.1,34,51,12.59
417,Ponta Delgada,PT,37.73,-25.67,1595011984,69.8,77,75,9.17
418,Diffa,NE,13.32,12.61,1595012002,76.62,81,100,10.96
419,La Flèche,FR,47.7,-0.08,1595012003,84.2,42,0,3.36
420,Zhuhai,CN,22.28,113.57,1595012003,86.0,89,40,12.75
421,Prince Rupert,CA,54.32,-130.32,1595011873,55.4,87,90,3.36
422,Kirovskiy,RU,45.09,133.51,1595012003,63.64,95,8,2.53
423,Palana,RU,59.12,159.97,1595012003,46.8,100,100,18.34
424,Filimonovo,RU,56.2,95.46,1595012003,47.44,84,16,6.4
425,Dombarovskiy,RU,50.76,59.54,1595012003,75.52,39,0,9.48
426,Pisco,PE,-13.7,-76.22,1595012003,66.2,68,32,9.17
427,Inhambane,MZ,-23.86,35.38,1595012003,66.2,72,40,4.7
428,Marau,BR,-28.45,-52.2,1595012003,71.53,86,4,3.76
429,Arlit,NE,18.74,7.39,1595012004,96.39,25,1,4.43
430,Manaus,BR,-3.1,-60.02,1595011895,89.6,62,40,5.82
431,Lagoa,PT,39.05,-27.98,1595012004,69.84,78,16,13.87
432,Bontang,ID,0.13,117.5,1595012004,78.19,85,5,7.92
433,Jammalamadugu,IN,14.83,78.4,1595012004,80.38,71,97,10.65
434,Socorro,US,31.65,-106.3,1595011839,95.0,26,40,6.93
435,Esperance,AU,-33.87,121.9,1595012004,46.4,100,75,12.75
436,Okha,RU,53.57,142.95,1595012004,55.54,97,100,5.5
437,Prome,MM,18.82,95.22,1595012005,78.42,92,100,4.94
438,Oddur,SO,4.12,43.89,1595012005,75.24,60,100,20.11
439,Emerald,AU,-23.53,148.17,1595012005,48.2,45,0,10.29
440,Visby,SE,57.64,18.3,1595012005,71.01,68,43,4.7
441,Batticaloa,LK,7.71,81.69,1595012005,83.34,77,100,2.71
442,Pandan,PH,14.05,124.17,1595012005,81.57,78,100,6.17
443,Pandaria,IN,22.23,81.42,1595012005,84.04,69,29,5.19
444,Isla Mujeres,MX,21.23,-86.73,1595012005,86.0,70,75,9.17
445,Kisangani,CD,0.52,25.2,1595011831,73.4,88,5,4.7
446,Sinnamary,GF,5.38,-52.95,1595012006,83.98,76,100,10.78
447,Pinega,RU,64.7,43.39,1595012006,56.73,84,5,8.95
448,Stornoway,GB,58.21,-6.39,1595012006,57.2,67,98,16.11
449,Nakusp,CA,50.25,-117.8,1595012006,62.01,75,100,5.99
450,Goundam,ML,16.41,-3.67,1595012006,95.52,33,12,6.93
451,Darnah,LY,32.77,22.64,1595012006,75.7,82,0,15.7
452,Sri Aman,MY,1.24,111.46,1595012006,77.0,100,100,0.18
453,Prieska,ZA,-29.66,22.75,1595012006,49.24,38,0,2.89
454,Jacqueville,CI,5.21,-4.41,1595012007,77.0,88,75,5.82
455,Luganville,VU,-15.53,167.17,1595012007,75.2,94,75,5.39
456,Terney,RU,45.05,136.61,1595012007,64.98,85,0,4.34
457,Şoarş,RO,45.93,24.92,1595012007,66.2,68,83,6.93
458,Nakhon Ratchasima,TH,14.97,102.1,1595012007,78.82,84,50,6.67
459,Philadelphia,US,39.95,-75.16,1595011823,88.0,66,75,4.7
460,Roebourne,AU,-20.78,117.13,1595012007,67.51,84,9,6.33
461,Northam,GB,51.03,-4.22,1595012007,62.01,87,39,7.0
462,Isangel,VU,-19.55,169.27,1595012007,66.2,93,40,5.06
463,Diu,IN,20.71,70.98,1595012008,83.1,84,9,11.88
464,Egvekinot,RU,66.32,-179.17,1595012008,50.36,100,100,1.19
465,Pimentel,PE,-6.84,-79.93,1595012008,69.8,64,11,14.99
466,Nishihara,JP,26.18,127.76,1595012008,80.6,88,75,9.17
467,Sola,VU,-13.88,167.55,1595012008,77.0,100,20,14.88
468,Novy Urengoy,RU,66.08,76.63,1595012008,52.99,71,65,5.44
469,Imbituba,BR,-28.24,-48.67,1595012008,69.8,73,0,6.93
470,Shrewsbury,GB,52.71,-2.75,1595011747,66.99,72,83,9.17
471,Barra Patuca,HN,15.8,-84.28,1595012009,85.41,67,6,6.33
472,Mujiayingzi,CN,42.12,118.78,1595012009,66.67,84,100,3.51
473,Sumbe,AO,-11.21,13.84,1595011880,69.6,86,0,2.73
474,Altamira,BR,-3.2,-52.21,1595012009,88.39,56,48,2.66
475,Muros,ES,42.78,-9.06,1595012009,91.0,37,0,9.17
476,Luleå,SE,65.58,22.15,1595012009,62.6,82,100,10.29
477,Neyshabur,IR,36.21,58.8,1595012009,78.49,31,59,3.74
478,Leeton,AU,-34.57,146.4,1595012009,33.8,100,1,3.36
479,São Bento do Sul,BR,-26.25,-49.38,1595012010,68.5,80,0,0.69
480,Kilindoni,TZ,-7.91,39.67,1595012010,77.88,69,0,20.65
481,Bom Jesus,BR,-9.07,-44.36,1595012010,90.54,27,0,8.03
482,Santa Rosa,PH,14.31,121.11,1595011773,82.4,83,55,8.05
483,Mbaïki,CF,3.87,17.99,1595012010,70.45,94,83,0.65
484,Panama City,PA,8.99,-79.52,1595011884,93.2,74,40,3.36
485,Macusani,PE,-14.08,-70.43,1595012010,50.09,47,18,8.21
486,Brae,GB,60.4,-1.35,1595011799,55.4,82,20,12.75
487,Okato,NZ,-39.2,173.88,1595012011,50.0,78,100,7.0
488,Kattivākkam,IN,13.22,80.32,1595011818,84.2,89,75,5.82
489,Penzance,GB,50.12,-5.54,1595012011,62.6,82,0,10.29
490,Okhotsk,RU,59.38,143.3,1595012011,55.42,92,98,3.13
491,Derzhavīnsk,KZ,51.1,66.32,1595012011,77.13,56,90,12.91
492,Karaton,ID,-6.34,106.1,1595012011,80.6,88,20,2.24
493,Raymond,US,43.9,-70.47,1595012011,63.0,90,100,9.6
494,Carbonia,IT,39.17,8.52,1595011897,78.8,65,20,14.99
495,Praia,CV,14.92,-23.51,1595012011,82.4,58,40,13.87
496,Ayan,RU,56.45,138.17,1595012011,53.11,95,100,1.83
497,St. George's,GD,12.06,-61.75,1595011982,87.8,70,20,19.46
498,Östersund,SE,63.18,14.64,1595012012,60.8,82,100,6.93
499,Ouro Preto do Oeste,BR,-10.75,-62.22,1595012012,92.48,28,0,3.13
500,Boueni,YT,-12.9,45.08,1595012012,77.0,65,41,11.41
501,Vorgashor,RU,67.58,63.95,1595012012,53.91,86,99,7.18
502,Sawtell,AU,-30.38,153.1,1595012012,57.2,67,75,11.41
503,Sabang,ID,5.89,95.32,1595012012,81.75,80,100,16.87
504,Sangar,RU,63.92,127.47,1595012012,64.11,73,91,2.68
505,Nyurba,RU,63.28,118.33,1595012013,57.04,87,100,5.03
506,Suntar,RU,62.14,117.63,1595012013,55.53,89,100,4.29
507,Atar,MR,20.52,-13.05,1595012013,102.94,18,99,9.33
508,Belaya Gora,RU,68.53,146.42,1595012013,49.37,61,0,3.11
509,Porto-Novo,BJ,6.5,2.6,1595011853,77.0,88,40,10.29
510,Shunde,CN,22.85,113.25,1595012013,87.01,72,100,10.18
511,Kirakira,SB,-10.45,161.92,1595012013,78.17,85,100,7.49
512,Kaitangata,NZ,-46.28,169.85,1595012013,41.0,84,1,1.99
513,Itoman,JP,26.12,127.67,1595012014,80.6,94,75,6.93
514,Bowen,AU,-20.02,148.23,1595012014,41.0,93,0,2.24
515,Namatanai,PG,-3.67,152.43,1595012014,79.3,76,86,3.51
516,Sovetskiy,RU,61.36,63.58,1595012014,66.87,92,100,4.14
517,Russell,US,32.35,-85.2,1595012014,93.2,49,40,9.17
518,Pozo Colorado,PY,-23.49,-58.8,1595012014,92.12,28,0,11.77
519,Miraflores,MX,19.22,-98.81,1595012014,73.4,28,5,4.7
520,Pedro II,BR,-4.42,-41.46,1595012014,87.44,31,8,6.87
521,Glace Bay,CA,46.2,-59.96,1595011799,72.0,33,40,5.82
522,Mareeba,AU,-17.0,145.43,1595012015,55.0,90,100,1.99
523,Safaga,EG,26.73,33.94,1595012015,87.8,27,0,8.05
524,Barcelos,PT,41.54,-8.62,1595011829,97.0,31,0,9.17
525,Gvardeysk,RU,54.65,21.07,1595012015,68.0,72,0,6.71
526,Eyemouth,GB,55.87,-2.09,1595012015,63.0,1,100,12.28
527,Dolores,AR,-36.31,-57.68,1595012015,55.6,74,100,11.95
528,Strausberg,DE,52.58,13.89,1595012015,72.0,93,8,6.06
529,Baymak,RU,52.59,58.32,1595012015,67.24,58,0,4.05
530,Luanda,AO,-8.84,13.23,1595011908,73.4,78,20,6.93
531,Bacolod City,PH,10.67,122.95,1595012016,78.71,80,100,5.01
532,Haradok,BY,55.46,29.98,1595012016,58.68,80,7,3.02
533,Caruray,PH,10.31,119.01,1595012016,79.92,74,5,3.49
534,Luquillo,PR,18.37,-65.72,1595012016,89.6,59,1,10.29
535,Tanout,NE,14.97,8.89,1595012016,89.96,35,91,5.53
536,Road Town,VG,18.42,-64.62,1595011733,87.8,62,40,11.41
537,Sibolga,ID,1.74,98.78,1595012016,75.9,83,100,4.27
538,Laas,IT,46.62,10.7,1595012016,57.2,67,40,6.93
539,Chu,KZ,43.6,73.76,1595012017,78.62,39,91,9.13
540,Barghāt,IN,22.03,79.72,1595012017,77.41,85,15,8.61
541,Bauchi,NG,10.5,10.0,1595012017,74.21,82,87,2.01
542,Havelock,US,34.88,-76.9,1595011828,89.01,69,12,1.01
543,Sioux Falls,US,43.55,-96.7,1595011907,87.8,66,40,14.99
544,Naze,JP,28.37,129.48,1595012017,80.6,88,75,8.05
545,Wencheng,CN,33.06,113.8,1595012017,69.87,96,100,6.6
